name,origin,style,since
1349,NO,Black metal,1997
16,,,
3 Doors Down,US,Post+AC0-grunge,1996
36 Crazyfists,US,Metalcore,1994
69 Chambers,,,
7 Weeks,,,
7th Nemesis,,,
A Day to Remember,US,Metalcore,2003
Abbath,NO,Black metal,2015
Aborted,BE,Death metal,1995
Absu,US,Black metal,1989
Abysse,,,
Accept,DE,Heavy metal,1968
Ace Frehley,US,Hard rock,1964
Acid King,US,Stoner,1993
Adagio,FR,Progressive metal,2000
Aerosmith,US,Hard rock,1970
After Forever,NL,Progressive metal,1995
Against Me+ACE-,US,Punk rock,1997
Agnostic Front,US,Hardcore punk,1980
Agoraphobic Nosebleed,US,Grindcore,1994
Agressor,,,
Ahab,DE,Doom metal,2004
Airbourne,AU,Hard rock,2003
Akercocke,GB,Death metal,1997
Alcest,FR,Post metal,2000
Alchemist ,AU,Progressive metal,1987
Alea Jacta Est,,,
Alestorm,GB,Folk metal,2004
Alice Cooper,US,Hard rock,1963
Alice in Chains,US,Alternative metal,1987
All For Nothing,,,
All Pigs Must Die,US,Metalcore,2009
All Shall Perish,US,Deathcore,2002
Alpha Tiger,,,
Alter Bridge,US,Alternative metal,2004
Amebix,GB,Punk rock,1978
Amenra,BE,Post metal,1999
Amon Amarth,SE,Melodic death metal,1992
Amorphis,FI,Progressive metal,1990
Anaal Nathrakh,,,
Anathema,GB,Alternative rock,1990
Angel Witch,GB,Heavy metal,1977
Angelus Apatrida,ES,Trash metal,2000
Angra,BR,Power metal,1991
Animosity ,US,Death metal,2000
Annihilator,CA,Trash metal,1984
Anthrax,US,Trash metal,1981
Anti+AC0-Flag,US,Punk rock,1988
Anvil,CA,Heavy metal,1978
Aosoth,,,
Apocalyptica,FI,Cello metal,1993
Arch Enemy,SE,Melodic death metal,1996
Archgoat,FI,Black metal,1989
Architects,GB,Metalcore,2004
Arcturus,NO,Avant+AC0-garde metal,1991
Argile,,,
Arkona,RU,Pagan metal,2002
Arma Gathas,,,
Armored Saint,US,Heavy metal,1982
Arson Anthem ,US,Hardcore punk,2006
Arthemis,IT,Power metal,1994
As I Lay Dying,US,Metalcore,2000
As They Burn,,,
Ascension,,,
ASG,US,Southern metal,2001
Asking Alexandria,GB,Metalcore,2008
Asphyx,NL,Death metal,1987
At the Gates,SE,Melodic death metal,1990
Atari Teenage Riot,DE,Digital hardcore,1992
Atheist,US,Death metal,1984
